instruction,input,output
เป้าหมายรอบเอวผู้ชายของผู้ป่วยเบาหวาน,,ไม่เกินส่วนสูง/2 หรือ < 90 เซนติเมตร
เป้าหมายรอบเอวหญิงของผู้ป่วยเบาหวาน,,ไม่เกินส่วนสูง/2 หรือ < 80 เซนติเมตร
เป้าหมายการสูบบุหรี่ของผู้ป่วยเบาหวาน,,ไม่สูบบุหรี่และหลีกเลี่ยงการรับควันบุหรี่
เป้าหมายการออกกำลังกายของผู้ป่วยเบาหวาน,,ตามคำแนะนำของแพทย์
เป้าหมายการดูแลระดับน้ำตาลในเลือดขณะอดอาหารของผู้ป่วยเบาหวาน,,90-<130 มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับน้ำตาลในเลือดหลังอาหาร 2 ชั่วโมงของผู้ป่วยเบาหวาน,,<140 มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับน้ำตาลในเลือดสูงสุดหลังอาหารของผู้ป่วยเบาหวาน,,<180 มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับโคเลสเตอรอลรวมของผู้ป่วยเบาหวาน,,130-170 มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับแอล ดี แอล คอเลสเทอรอลของผู้ป่วยเบาหวาน,,<100 มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับไตรกลีเซอไรด์ของผู้ป่วยเบาหวาน,,<150 มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับเอช ดีแอล คอลเลสเทอรอลผู้ชายของผู้ป่วยเบาหวาน,,มากกว่าหรือเท่ากับ40มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับเอช ดีแอล คอลเลสเทอรอลผู้หญิงของผู้ป่วยเบาหวาน,,มากกว่าหรือเท่ากับ50มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลความดันโลหิตตัวบน (systolic BP)ของผู้ป่วยเบาหวาน,,<140 มิลลิเมตรปรอท
เป้าหมายการดูแลความดันโลหิตตัวล่าง (diastolic BP)ของผู้ป่วยเบาหวาน,,<80 มิลลิเมตรปรอท
เป้าหมายการดูแลดัชนีมวลกายของผู้ป่วยเบาหวาน,,18.5-22.9 กิโลกรัม/ตารางเมตร
เป้าหมายการดูแลรอบเอวผู้ชายของผู้ป่วยเบาหวาน,,ไม่เกินส่วนสูง/2 หรือ < 90 เซนติเมตร
เป้าหมายการดูแลรอบเอวหญิงของผู้ป่วยเบาหวาน,,ไม่เกินส่วนสูง/2 หรือ < 80 เซนติเมตร
เป้าหมายการดูแลการสูบบุหรี่ของผู้ป่วยเบาหวาน,,ไม่สูบบุหรี่และหลีกเลี่ยงการรับควันบุหรี่
เป้าหมายการดูแลการออกกำลังกายของผู้ป่วยเบาหวาน,,ตามคำแนะนำของแพทย์
เป้าหมายการดูแลระดับLDL คอเลสเทอรอลของผู้ป่วยเบาหวาน,,<100 มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับHDL คอลเลสเทอรอลผู้ชายของผู้ป่วยเบาหวาน,,มากกว่าหรือเท่ากับ40มิลลิกรัม/เดซิลิตร
เป้าหมายการดูแลระดับHDL คอลเลสเทอรอลผู้หญิงของผู้ป่วยเบาหวาน,,มากกว่าหรือเท่ากับ50มิลลิกรัม/เดซิลิตร
ไม่ควรบริโภคไขมันเกินร้อยละเท่าไรของพลังงานรวมแต่ละวัน,,30-35 ของพลังงานรวมแต่ละวัน
น้ำมันประกอบอาหารควรเป็นแบบไหน,,"น้ำมันประกอบอาหารควรใช้ไขมันไม่อิ่มตัวเชิงเดี่ยวหรือใช้ร่วมกับไขมันไม่อิ่มตัวเชิงซ้อน เช่น ชนิดที่เป็น
โอเมก้า6"
ยกตัวอย่างน้ำมันที่มีไขมันอิ่มตัวเชิงเดี่ยวมาก,,น้ำมันรำข้าว น้ำมันคาโนล่า น้ำมันมะกอก 
ยกตัวอย่างน้ำมันไม่อิ่มตัวเชิงซ้อนชนิดที่เป็นโอเมก้า6 มาก,,"น้ำมันถั่วเหลือง น้ำมันข้าวโพด น้ำมัน
ดอกทานตะวัน และที่เป็นโอเมก้า3 มาก ได้แก่ น้ำมันปลา"
ยกตัวอย่างไขมันอิ่มตัว,,ไขมันจากสัตว์ น้ำกะทิ น้ำมันมะพร้าว น้ำมันปาล์ม
ผลกระทบของอาหารที่มีไขมันนอิ่มตัวสูงจะทำให้เกิดอะไร,,"อาหารที่มีไขมันอิ่มตัวสูงจะทำให้
ระดับกรดไขมันอิสระในเลือดสูงขึ้น มีผลทำให้เกิดภาวะดื้ออินซูลินที่กล้ามเนื้อลาย และทำให้ระดับ
เอลดีเอลคอเลสเทอรอลเพิ่มขึ้น เสี่ยงต่อหลอดเลือดแดงแข็งและตีบตัน"
ยกตัวอย่างการควบคุมอาหารประเภทไขมันและคอเลสเทรอล,,"บริโภคไขมันไม่เกินร้อยละ30-35 ของพลังงานรวมแต่ละวัน โดยเป็นไขมันอิ่มตัวไม่เกินร้อยละ7 ไขมัน
ไม่อิ่มตัวหลายตำแหน่งไม่เกินร้อยละ 10 ส่วนที่เหลือให้เป็นไขมันไม่อิ่มตัวหนึ่งตำแหน่ง"
ไขมัันทรานส์พบมากในไหน,,มาร์การีน เนยขาว และอาหารอบกรอบ
ไขมันทรานส์ควรบริโภคประมาณเท่าใด,,ไม่ให้เกิน 1% ของพลังงานรวม
ผลกระทบจากการบริโภคไขมันทรานส์,,"เพิ่มความเสี่ยงในการเกิดโรค
หัวใจและหลอดเลือด"
ควรจำกัดการบริโภคอาหารที่มีปริมาณคอเลสเทอรอลเท่าไรต่อวัน,,300 มิลลิกรัม/วัน
หากเป็นโรคหลอดเลือดหัวใจควรจำกัดการบริโภคอาหารที่มีปริมาณคอเลสเทอรอลเท่าไรต่อวัน,,200 มิลลิกรัม/วัน
อาหารที่มีคอเลสเทอรอลสูงคือ,,"ไขมันจากสัตว์ เนื้อสัตว์
ที่ติดหนังติดมัน เครื่องในสัตว์ กุ้ง ปลาหมึก ปู"
โปรตีนควรบริโภคร้อยละเท่าไรของพลังงานทั้งหมด,,15-20 ของพลังงานทั้งหมด
ควรบริโภคปลากี่ครั้งต่อสัปดาห์,,2ครั้ง/สัปดาห์
ปลาให้สารอาหารชนิดใด,,โอเมก้า 3
แนะนำวิธีการควบคุมอาหารประเภทโปรตีน,,"บริโภคโปรตีนร้อยละ 15-20 ของพลังงานทั้งหมด ถ้าการทำงานของไตเป็นปกติ
บริโภคเนื้อสัตว์ที่ไม่ติดหนังไม่ติดมันและมีไขมันต่ำร่วมกับโปรตีนจากถั่วเหลืองเป็นประจำ
บริโภคปลา 2 ครั้ง/สัปดาห์หรือมากกว่า เพื่อให้ได้โอเมก้า3
หลีกเลี่ยงการบริโภคเนื้อสัตว์แปรรูป เช่น กุนเชียง ไส้กรอก โบโลนย่า แฮม เพราะมีปริมาณไขมันและเกลือสูง
ไม่ควรกินเกลือโซเดียมเกินวันละ2,000 มิลลิกรัม หรือเทียบเป็นเกลือแกงคือ1 ช้อนชา หากเป็นน้ำปลาซีอิ๊ว ซอสปรุงรส คือ 3 ช้อนชา"
แนะนำวิธีการควบคุมอาหารประเภทโปรตีน,,บริโภคโปรตีนร้อยละ 15-20 ของพลังงานทั้งหมด ถ้าการทำงานของไตเป็นปกติ
แนะนำวิธีการควบคุมอาหารประเภทโปรตีน,,บริโภคเนื้อสัตว์ที่ไม่ติดหนังไม่ติดมันและมีไขมันต่ำร่วมกับโปรตีนจากถั่วเหลืองเป็นประจำ
แนะนำวิธีการควบคุมอาหารประเภทโปรตีน,,บริโภคปลา 2 ครั้ง/สัปดาห์หรือมากกว่า เพื่อให้ได้โอเมก้า3
แนะนำวิธีการควบคุมอาหารประเภทโปรตีน,,หลีกเลี่ยงการบริโภคเนื้อสัตว์แปรรูป เช่น กุนเชียง ไส้กรอก โบโลนย่า แฮม เพราะมีปริมาณไขมันและเกลือสูง
แนะนำวิธีการควบคุมอาหารประเภทโปรตีน,,"ไม่ควรกินเกลือโซเดียมเกินวันละ2,000 มิลลิกรัม หรือเทียบเป็นเกลือแกงคือ1 ช้อนชา หากเป็นน้ำปลาซีอิ๊ว ซอสปรุงรส คือ 3 ช้อนชา"
แนะนำวิธีการดื่มแอลกอฮอล์,,"ไม่แนะนำให้ดื่มเครื่องดื่มที่มีแอลกอฮอล์ ถ้าดื่มควรจำกัดปริมาณไม่เกิน 1 ส่วน/วัน สำหรับผู้หญิง
และ 2 ส่วน/วัน สำหรับผู้ชาย โดย 1 ส่วนของแอลกอฮอล์ คือ วิสกี้ 45 มิลลิลิตร หรือเบียร์ชนิดอ่อน
360 มิลลิลิตร หรือไวน์ 120 มิลลิลิตร
การดื่มแอลกอฮอล์ตามที่กำหนดอย่างเดียวไม่มีผลต่อระดับน้ำตาลและอินซูลิน การกินคาร์โบไฮเดรต
เป็นกับแกล้มร่วมด้วย อาจเพิ่มระดับน้ำตาลในเลือดได้
ไม่ดื่มแอลกอฮอล์อย่างเดียวและปริมาณเกินกว่าที่กำหนด ต้องกินอาหารร่วมด้วยเพื่อป้องกันไม่ให้เกิด
ระดับน้ำตาลในเลือดต่ำ"
แนะนำวิธีการดื่มแอลกอฮอล์,,"ไม่แนะนำให้ดื่มเครื่องดื่มที่มีแอลกอฮอล์ ถ้าดื่มควรจำกัดปริมาณไม่เกิน 1 ส่วน/วัน สำหรับผู้หญิง
และ 2 ส่วน/วัน สำหรับผู้ชาย โดย 1 ส่วนของแอลกอฮอล์ คือ วิสกี้ 45 มิลลิลิตร หรือเบียร์ชนิดอ่อน
360 มิลลิลิตร หรือไวน์ 120 มิลลิลิตร"
แนะนำวิธีการดื่มแอลกอฮอล์,,"การดื่มแอลกอฮอล์ตามที่กำหนดอย่างเดียวไม่มีผลต่อระดับน้ำตาลและอินซูลิน การกินคาร์โบไฮเดรต
เป็นกับแกล้มร่วมด้วย อาจเพิ่มระดับน้ำตาลในเลือดได้"
แนะนำวิธีการดื่มแอลกอฮอล์,,"ไม่ดื่มแอลกอฮอล์อย่างเดียวและปริมาณเกินกว่าที่กำหนด ต้องกินอาหารร่วมด้วยเพื่อป้องกันไม่ให้เกิด
ระดับน้ำตาลในเลือดต่ำ"
แนะนำวิธีการบริโภควิตามินและแร่ธาตุ,,"ไม่จำเป็นต้องให้วิตามินหรือแร่ธาตุเสริมในผู้ป่วยเบาหวานที่กินอาหารได้ครบถ้วน
ในผู้สูงอายุอาจให้วิตามินรวมเสริมเป็นประจำทุกวัน โดยเฉพาะในคนที่ควบคุมปริมาณอาหาร
ไม่แนะนำให้ใช้สารต้านอนุมูลอิสระเพิ่มเป็นประจำเนื่องจากอาจไม่ปลอดภัยในระยะยาว"
คุมอาหารอย่างเดียวลดน้ำหนักได้หรือไม่,,"ได้ แต่จะลดได้เพียงเล็กน้อยเท่านั้น เพราะเมื่ออดอาหารน้ำหนักที่หายไปเป็นส่วนของไขมัน น้ำ และ
กล้ามเนื้อ เมื่ออดนานๆ ร่างกายจะปรับตัวให้ใช้พลังงานน้อยลง จะรู้สึกไม่กระปรี้กระเปร่า หรือเพลียๆ
ดูซูบเซียว ทำให้ล้มเหลว เลิกอดอาหาร กลับไปกินเหมือนเดิมหรือบางคนกินมากกว่าเดิม แม้กินเท่าเดิม
น้ำหนักจะขึ้นอย่างรวดเร็วเพราะร่างกายปรับตัวให้ใช้พลังงานน้อยลงแล้ว นอกจากนี้กล้ามเนื้อซึ่งเป็น
ส่วนที่เผาผลาญพลังงานได้มากมีขนาดลดลง ทำให้มีพลังงานเหลือเก็บมากขึ้น น้ำหนักจึงขึ้นเร็วและมาก
เกินกว่าเดิม คือเกิดปรากฏการณ์โยโย่ ดังนั้นการออกกำลังกายร่วมไปกับการคุมอาหารจะเป็นประโยชน์
มากกว่า"
ออกกำลังอย่างเดียวลดน้ำหนักได้หรือไม่,,"การออกกำลังกายอย่างเดียวส่วนใหญ่จะไม่ประสบความสำเร็จ คนอ้วนเมื่อกินอาหารเท่าเดิม
จะมีพลังงานส่วนเกินอยู่ทุกวัน เช่น พลังงานส่วนเกิน500 กิโลแคลอรีจะต้องเดินออกกำลังกายประมาณ
2 ชั่วโมง หรือวิ่งเหยาะ 1 ชั่วโมง จึงจะเผาผลาญพลังงานส่วนเกินได้หมด คนอ้วนมากยิ่งมีข้อจำกัด
ในการออกกำลังกายมาก เพราะน้ำหนักที่มากเกิน ทำให้เคลื่อนไหวลำบาก เกิดบาดเจ็บได้ง่าย
โดยเฉพาะที่ข้อเข่าและข้อเท้า การออกกำลังกายเพียงอย่างเดียวโดยไม่คุมอาหาร ยังอาจได้พลังงาน
มากเกินกว่าที่ต้องการจึงไม่สามารถลดน้ำหนักได้ นั่นคือล้มเหลวตั้งแต่แรกเริ่ม"
เริ่มออกกำลังเพื่อลดน้ำหนัก ควรทำอย่างไรจึงจะเหมาะ,,"เมื่อเริ่มคุมอาหารเพื่อลดน้ำหนัก ให้เคลื่อนไหวร่างกายมากขึ้นร่วมไปด้วย การออกกำลังกายที่เหมาะ
ที่สุดคือ การเดิน เริ่มต้นเดินช้าๆ หลังกินอาหารแต่ละมื้อ 500-1,000 ก้าวก่อนนั่งลงทำงาน ในระหว่าง
เวลาทำงานให้ลุกยืนและบริหารร่างกายส่วนต่างๆ 5-10 นาที วันละ 3-4 ครั้ง หลัง 1 สัปดาห์แล้ว
ให้เดินเร็วขึ้นและเพิ่มขึ้น 500 ก้าวทุก 3-5 วัน จนเดินต่อเนื่องได้ 3,000-4,000 ก้าว อาจปรับเป็นเดิน
วันละ 2 ครั้ง และบริหารร่างกายส่วนต่างๆ 5 นาทีก่อนและหลังเดิน โดยรวมแล้วให้เดินไม่ต่ำกว่า
10,000 ก้าวต่อวัน สามารถแปลงก้าวเป็นระยะทาง และใช้ระยะทางเป็นเครื่องวัดแทนได้ เช่น
แต่ละก้าวเท่ากับ 55 เซนติเมตร เดิน 10,000 ก้าวเท่ากับเดิน 5.5 กิโลเมตร คนอ้วนที่มีปัญหาเจ็บ/
ปวดที่ข้อเข่าหรือเท้า การเคลื่อนไหวร่างกายและเดินในน้ำจะช่วยลดปัญหาได้ เมื่อกระฉับกระเฉงขึ้น
ให้เริ่มว่ายน้ำ เพิ่มเวลาและระยะทางทีละน้อย จนว่ายได้ต่อเนื่องวันละ 30-45 นาที สัปดาห์ละ 3-4 วัน
(รวมไม่น้อยกว่า 120 นาทีต่อสัปดาห์)"
ผู้ที่เป็นเบาหวานไปงานเลี้ยงต้องปฏิบัติอย่างไร,,"ถ้าเป็นไปได้ ควรกินอาหารในปริมาณและสัดส่วนตามปกติที่แพทย์กำหนดไว้ แต่ถ้าจะกินอาหารเพิ่มขึ้น
ส่วนที่เพิ่มควรเป็นผักและเนื้อสัตว์ที่ไม่ติดหนังติดมัน สิ่งที่ควรงดคือ เครื่องดื่มรสหวานและของหวาน
147ถ้าดื่มเครื่องดื่มที่มีแอลกอฮอล์ ผู้หญิงดื่มได้ 1 ส่วน สำหรับผู้ชายดื่มได้ 2 ส่วน (1 ส่วนคือ วิสกี้ 45
มิลลิลิตร หรือเบียร์ชนิดอ่อน 360 มิลลิลิตร หรือไวน์ 120 มิลลิลิตร) หลังงานเลี้ยงให้หาโอกาสเดิน
ต่อเนื่อง 20-30 นาที เพื่อเผาผลาญพลังงานส่วนเกินหรือไขมันจากอาหารที่กินมาจากงานเลี้ยง
ถ้าเป็นเบาหวานชนิดที่ 1 และฉีดอินซูลินก่อนอาหารแต่ละมื้อ ให้นับปริมาณคาร์โบไฮเดรต และปรับ
ขนาดยาฉีดตามที่แพทย์แนะนำ"
ผู้ป่วยเบาหวานเมื่อเจ็บป่วยเป็นไข้ คลื่นไส้ อาเจียนต้องทำอย่างไร,,"เมื่อเจ็บป่วยควรตรวจระดับน้ำตาลในเลือด เพราะอาจลดต่ำหรือเพิ่มสูงขึ้นมากได้ กรณีที่กินยาหรือฉีด
อินซูลินแล้ว และระดับน้ำตาลในเลือดอยู่ระหว่าง100-200 มิลลิกรัม/เดซิลิตร กินยาลดไข้และแก้อาเจียน
นอนพัก ไม่ต้องกังวล ดื่มเครื่องดื่มผสมน้ำตาลครึ่งแก้วทุก 1 ชั่วโมง ตรวจระดับน้ำตาลในเลือด
ทุก2-4 ชั่วโมง ถ้าหยุดอาเจียนและระดับน้ำตาลในเลือดใกล้เคียงเดิม กินอาหารอ่อนๆ ตามเวลาอาหาร
จนอาการดีขึ้น ถ้ากินยาลดไข้และแก้อาเจียนแล้วอาการไม่ดีขึ้นใน 2 ชั่วโมง ยังมีคลื่นไส้
อาเจียนต่อเนื่อง ให้รีบไปพบแพทย์
ในกรณีที่เกิดอาการก่อนเวลากินยาหรือฉีดอินซูลิน และระดับน้ำตาลในเลือดอยู่ระหว่าง
100-200 มิลลิกรัม/เดซิลิตร ถ้าใช้ยากินคุมเบาหวานให้กินยาลดไข้และแก้อาเจียนโดยที่ยังไม่ต้องกิน
ยาคุมเบาหวาน นอนพัก รอดูอาการประมาณ 2 ชั่วโมง เมื่อดีขึ้นให้กินยารักษาเบาหวานและกินอาหารอ่อนๆ
ตรวจระดับน้ำตาลในเลือดทุก 4 ชั่วโมง ถ้าระดับน้ำตาลในเลือดต่ำกว่า 70 มิลลิกรัม/เดซิลิตร
หากใกล้เวลาอาหารให้กินอาหารทันที หากยังไม่ถึงเวลาอาหารให้ดื่มน้ำผลไม้หรือเครื่องดื่มผสมน้ำตาล
ครึ่งแก้ว และติดตามระดับน้ำตาลในเลือด กรณีที่ใช้ยาฉีดอินซูลิน ถ้าระดับน้ำตาลในเลือดมากกว่า
250 มิลลิกรัม/เดซิลิตร ในเด็ก หรือมากกว่า 300 มิลลิกรัม/เดซิลิตร ในผู้ใหญ่ให้ไปพบแพทย์ทันที
แต่ถ้าระดับน้ำตาลในเลือดอยู่ระหว่าง 100-200 มิลลิกรัม/เดซิลิตร ให้กินยาลดไข้และแก้อาเจียน
และฉีดอินซูลินโดยลดขนาดลงครึ่งหนึ่ง หรือ 2 ใน 3 ดื่มเครื่องดื่มผสมน้ำตาลครึ่งแก้ว นอนพัก
ตรวจระดับน้ำตาลในเลือดทุก 1-2 ชั่วโมง ถ้าระดับน้ำตาลในเลือดคงที่ สามารถกินอาหารมื้อถัดไปได้
ให้ฉีดอินซูลินขนาดเท่าที่ฉีดครั้งแรก กินอาหารอ่อนๆ ฉีดยาก่อนกินอาหารมื้อถัดไป แต่ถ้าระดับน้ำตาล
ในเลือดเพิ่มขึ้นสูงกว่า 250 หรือ 300 มิลลิกรัม/เดซิลิตร หรืออาการไม่ดีขึ้นใน 24 ชั่วโมงให้ปรึกษา
แพทย์หรือไปพบแพทย์
ในขณะป่วยถ้ามีอาการหิว ใจสั่น ตาลาย หน้ามืด กระสับกระส่ายให้ตรวจระดับน้ำตาลในเลือด
ทันที ถ้าระดับน้ำตาลในเลือดต่ำกว่า 100 มิลลิกรัม/เดซิลิตร ให้ดื่มเครื่องดื่มผสมน้ำตาลหรือน้ำผลไม้
ครึ่งแก้ว ซ้ำได้ทุก 1 ชั่วโมงเพื่อให้ระดับน้ำตาลในเลือดไม่ต่ำกว่า 100 มิลลิกรัม/เดซิลิตร แต่ไม่เกิน
200 มิลลิกรัม/เดซิลิตร"
ผู้ที่เป็นเบาหวานชนิดที่ 2 และฉีดอินซูลินวันละ 2 ครั้ง ควรออกกำลังกายอย่างไร,,"ถ้ายังไม่เคยออกกำลังกายเลย ควรมีเครื่องตรวจวัดระดับน้ำตาลในเลือดและเรียนรู้วิธีการใช้จนสามารถ
ตรวจเองได้ถูกต้อง การออกกำลังกายให้เริ่มด้วยการเดินก่อน เดินตอนเช้าก่อนฉีดยา โดยเดินต่อเนื่อง
ประมาณ 10 นาที ก่อนและหลังเดินควรบริหารร่างกาย 5 นาที เพิ่มระยะเวลาเดิน 5 นาที
ทุก 3-5 วัน เมื่อจะเดินนาน 20 นาทีให้ตรวจระดับน้ำตาลในเลือดก่อนเดินและหลังเดินดูว่ามีการ
เปลี่ยนแปลงอย่างไร ถ้าไม่เปลี่ยนแปลงให้ทำอีกเมื่อเดินนาน 30 นาที และ 40 นาที ถ้าระดับน้ำตาล
ในเลือดหลังเดินลดลงจากเดิมมากกว่า100 มิลลิกรัม/เดซิลิตร หรือระดับน้ำตาลในเลือดวัดได้น้อยกว่า
100 มิลลิกรัม/เดซิลิตร ให้ลดยาฉีดมื้อเช้าลงตามที่แพทย์แนะนำไว้ ถ้าระดับน้ำตาลในเลือดก่อนเริ่มเดิน
ต่ำกว่า 70 มิลลิกรัม/เดซิลิตร ให้กินขนมปัง 1 แผ่น หรือดื่มนมครึ่งแก้วก่อนจึงเดิน ถ้าจะออกกำลังกาย
หนักขึ้น เช่น วิ่งเหยาะ ตีแบดมินตัน ตีเทนนิส ขี่จักรยานเร็วๆ ให้ตรวจระดับน้ำตาลในเลือดก่อน
และหลังการออกกำลังกายดูการเปลี่ยนแปลง ถ้าก่อนออกกำลังกายหนักระดับน้ำตาลในเลือดน้อยกว่า
100 มิลลิกรัม/เดซิลิตร ให้กินขนมปัง1 แผ่น หรือดื่มนมครึ่งแก้วก่อนจึงออกกำลังกาย ถ้าออกกำลังกาย
มากกว่า 30 นาทีให้กินเพิ่มเท่าตัว และถ้าออกกำลังกายมากกว่า 60 นาที ต้องตรวจระดับน้ำตาล
ในเลือดระหว่างออกกำลังกายและเพิ่มเครื่องดื่มเป็นระยะถ้าระดับน้ำตาลในเลือดลดลง เมื่อออกกำลังกาย
หนักและนาน ควรตรวจระดับน้ำตาลในเลือดก่อนอาหารทุกมื้อและก่อนนอน เพื่อใช้เป็นแนวทาง
ในการปรับยาฉีด ซึ่งอาจปรับลดลงได้ทั้ง 2 เวลาตามแพทย์แนะนำ ถ้ามีอาการหิว ใจสั่น ตาลาย
หน้ามืดให้หยุดออกกำลังกายและเจาะเลือดทันทีและดื่มเครื่องดื่มถ้าระดับน้ำตาลในเลือดต่ำกว่า
70 มิลลิกรัม/เดซิลิตร ในกรณีที่ระดับน้ำตาลในเลือดก่อนเริ่มออกกำลังกายสูงกว่า300 มิลลิกรัม/เดซิลิตร
ให้ปรึกษาแพทย์เพื่อปรับยาก่อน"
ข้อปฏิบัติการกินอาหารของผู้ที่เป็นโรคความดันโลหิตสูง หัวใจ และอัมพาต,,"- ควรหลีกเลี่ยงหรืองดการกินอาหารที่มีไขมันสูง ได้แก่ อาหารผัด ทอด และไขมันที่มาจากสัตว์
การกินเนื้อสัตว์ ควรเลาะไขมันหรือหนังออก รวมทั้งหลีกเลี่ยงขนมหวาน แกงกะทิ และขนมเบเกอรี่ที่ใช้
เนย มาร์การีน เป็นส่วนผสม ได้แก่ เค้ก คุกกี้ โดนัต พาย
- เพิ่มการกินผัก ผลไม้ ที่รสไม่หวานมาก โดยในแต่ละวันควรเลือกกินอาหารประเภทผัก ผลไม้ให้ได้
อย่างน้อย วันละ 5 ส่วน
- ลดการรับประทานอาหารรสเค็มจัด หรืออาหารที่มีโซเดียมสูง โดยลดการใช้เครื่องปรุงรสต่างๆ หลีกเลี่ยง
อาหารแปรรูป ชิมอาหารก่อนปรุง รู้จักการอ่านฉลากโภชนาการและเลือกซื้อให้เหมาะสม
- งดเครื่องดื่มที่มีแอลกอฮอล์
- ออกกำลังกายสม่ำเสมอ ช่วยให้ระบบหมุนเวียนเลือดในร่างกายไหลเวียนดีขึ้น ลดระดับความดันโลหิตได้
รวมทั้งเป็นการผ่อนคลายความเครียด"
ข้อปฏิบัติการกินอาหารของผู้ที่เป็นโรคความดันโลหิตสูง หัวใจ และอัมพาต,,"- ควรหลีกเลี่ยงหรืองดการกินอาหารที่มีไขมันสูง ได้แก่ อาหารผัด ทอด และไขมันที่มาจากสัตว์
การกินเนื้อสัตว์ ควรเลาะไขมันหรือหนังออก รวมทั้งหลีกเลี่ยงขนมหวาน แกงกะทิ และขนมเบเกอรี่ที่ใช้
เนย มาร์การีน เป็นส่วนผสม ได้แก่ เค้ก คุกกี้ โดนัต พาย"
ข้อปฏิบัติการกินอาหารของผู้ที่เป็นโรคความดันโลหิตสูง หัวใจ และอัมพาต,,"- เพิ่มการกินผัก ผลไม้ ที่รสไม่หวานมาก โดยในแต่ละวันควรเลือกกินอาหารประเภทผัก ผลไม้ให้ได้
อย่างน้อย วันละ 5 ส่วน"
ข้อปฏิบัติการกินอาหารของผู้ที่เป็นโรคความดันโลหิตสูง หัวใจ และอัมพาต,,"- ลดการรับประทานอาหารรสเค็มจัด หรืออาหารที่มีโซเดียมสูง โดยลดการใช้เครื่องปรุงรสต่างๆ หลีกเลี่ยง
อาหารแปรรูป ชิมอาหารก่อนปรุง รู้จักการอ่านฉลากโภชนาการและเลือกซื้อให้เหมาะสม"
ข้อปฏิบัติการกินอาหารของผู้ที่เป็นโรคความดันโลหิตสูง หัวใจ และอัมพาต,,- งดเครื่องดื่มที่มีแอลกอฮอล์
ข้อปฏิบัติการกินอาหารของผู้ที่เป็นโรคความดันโลหิตสูง หัวใจ และอัมพาต,,"- ออกกำลังกายสม่ำเสมอ ช่วยให้ระบบหมุนเวียนเลือดในร่างกายไหลเวียนดีขึ้น ลดระดับความดันโลหิตได้
รวมทั้งเป็นการผ่อนคลายความเครียด"
อาการแสดงของโรคความดันโลหิตสูงคือ,,"ปวดศีรษะ มึนงง ตาพล่า เหนื่อยง่าย แน่นหน้าอก คลื่นไส้ แต่ส่วนใหญ่
แล้วจะไม่แสดงอาการใดๆ เลย จนกระทั่งมีความดันโลหิตสูงที่สูงมากจนเป็นอันตราย"
ความดันโลหิต มีสองค่า คือ,,ความดันในหลอดเลือดขณะที่หัวใจบีบตัว และ ความดันในหลอดเลือดขณะที่หัวใจคลายตัว
ความดันโลหิต มีสองค่า อะไรบ้าง,,ความดันในหลอดเลือดขณะที่หัวใจบีบตัว และ ความดันในหลอดเลือดขณะที่หัวใจคลายตัว
ความดันโลหิต มีสองค่า คือ,,"วามดันในหลอดเลือดขณะที่หัวใจบีบตัว (ความดันตัวบน ค่ามาก)
และความดันในหลอดเลือดขณะที่หัวใจคลายตัว (ความดันตัวล่าง ค่าน้อย)"
ความดันโลหิต มีสองค่า อะไรบ้าง,,"วามดันในหลอดเลือดขณะที่หัวใจบีบตัว (ความดันตัวบน ค่ามาก)
และความดันในหลอดเลือดขณะที่หัวใจคลายตัว (ความดันตัวล่าง ค่าน้อย)"
โรคความดันโลหิตสูง ควรมีความดันตัวบนเท่าไร,,น้อยกว่า 140 มิลลิเมตรปรอท
โรคความดันโลหิตสูง ควรมีความดันตัวล่างเท่าไร,,น้อยกว่า 90 มิลลิเมตรปรอท
โรคความดันโลหิตสูง ควรมีความดันตัวบนและตัวล่างเท่าไร,,น้อยกว่า 140 มิลลิเมตรปรอท และ น้อยกว่า 90 มิลลิเมตรปรอท ตามลำดับ
โรคความดันโลหิตสูง และโรคเบาหวาน ควรมีความดันตัวบนเท่าไร,,น้อยกว่า 130 มิลลิเมตรปรอท
โรคความดันโลหิตสูง และโรคเบาหวาน ควรมีความดันตัวล่างเท่าไร,,น้อยกว่า 80 มิลลิเมตรปรอท
โรคความดันโลหิตสูง และโรคเบาหวาน ควรมีความดันตัวบนและตัวล่างเท่าไร,,น้อยกว่า 130 มิลลิเมตรปรอท และ น้อยกว่า 80 มิลลิเมตรปรอท ตามลำดับ
โรคความดันโลหิตสูง และโรคไต ควรมีความดันตัวบนเท่าไร,,น้อยกว่า 130 มิลลิเมตรปรอท
โรคความดันโลหิตสูง และโรคไต ควรมีความดันตัวล่างเท่าไร,,น้อยกว่า 80 มิลลิเมตรปรอท
